2,30-DEC-2004 10:00:41,37,1,59,7,6,6160,0,3330,287,2760,124,3220,606,4130,117,7690,117
2,30-DEC-2004 10:00:42,38,3,106,2,2,960,0,850,265
1,30-DEC-2004 10:00:43,30,2,96,2,2,820,0,890,265
2,30-DEC-2004 10:00:43,39,1,57,7,5,5490,0,3720,306,1870,641,1720,120,1720,127
2,30-DEC-2004 10:00:45,40,1,58,7,5,5460,0,4470,297,1550,653,2180,115,2110,122
2,30-DEC-2004 10:00:46,41,1,63,2,2,310,0,310,249
2,30-DEC-2004 10:00:47,42,2,88,2,2,1320,0,880,243
2,30-DEC-2004 10:00:48,43,3,88,2,2,1060,0,810,254
2,30-DEC-2004 10:00:48,44,3,88,2,2,1200,0,1320,310
2,30-DEC-2004 10:00:49,45,1,84,2,2,310,0,310,249
2,30-DEC-2004 10:00:49,46,3,91,2,2,890,0,610,261
1,30-DEC-2004 10:00:51,31,1,76,7,5,5970,0,6420,370,4010,760,3060,141,3370,132
2,30-DEC-2004 10:00:51,47,3,96,2,2,1150,0,970,277
2,30-DEC-2004 10:00:51,48,2,99,2,2,1090,0,680,211
1,30-DEC-2004 10:00:53,32,1,88,6,2,4140,0,7570,665
1,30-DEC-2004 10:00:53,33,2,79,5,2,4570,0,9090,598
1,30-DEC-2004 10:00:54,34,3,86,2,2,750,0,470,247
1,30-DEC-2004 10:00:55,35,1,69,4,2,1740,0,2310,285
1,30-DEC-2004 10:00:55,36,2,78,2,2,990,0,770,262
1,30-DEC-2004 10:00:56,37,3,86,2,2,750,0,510,258
2,30-DEC-2004 10:00:56,49,1,58,7,5,8040,0,17220,275,9100,609,5460,115,5180,115
2,30-DEC-2004 10:00:57,50,2,82,6,2,3100,0,6310,419
2,30-DEC-2004 10:00:58,51,1,59,3,2,6930,0,9080,480
1,30-DEC-2004 10:00:59,38,1,94,4,2,1420,0,1160,304
1,30-DEC-2004 10:01:00,39,3,88,2,2,670,0,400,243
2,30-DEC-2004 10:00:59,52,2,78,5,2,3270,0,5660,359
1,30-DEC-2004 10:01:02,40,2,103,2,2,640,0,680,295
1,30-DEC-2004 10:01:02,41,3,96,2,2,830,0,750,277
2,30-DEC-2004 10:01:00,53,1,66,7,5,7010,0,4560,332,2900,615,2840,115,2490,123
1,30-DEC-2004 10:01:03,42,2,74,2,2,1150,0,1020,259
1,30-DEC-2004 10:01:04,43,1,71,7,5,5650,0,5150,345,2570,754,2300,141,2380,141
1,30-DEC-2004 10:01:04,44,2,74,2,2,680,0,420,240
2,30-DEC-2004 10:01:02,54,1,66,7,6,6310,0,6000,298,5460,123,3380,598,5480,115,8400,115
2,30-DEC-2004 10:01:04,55,1,71,4,2,2240,0,1490,310
1,30-DEC-2004 10:01:05,45,2,76,2,2,1100,0,810,284
1,30-DEC-2004 10:01:06,46,1,71,7,5,5950,0,5590,363,2640,772,2640,141,2950,141
2,30-DEC-2004 10:01:07,56,1,78,2,2,310,0,310,249
2,30-DEC-2004 10:01:09,57,2,79,2,2,1530,0,1400,248
2,30-DEC-2004 10:01:12,58,3,79,2,2,1120,0,970,258
2,30-DEC-2004 10:01:14,59,1,57,7,4,5180,0,4380,170,4600,234,2960,106
2,30-DEC-2004 10:01:17,60,1,55,3,2,1890,0,2830,302
2,30-DEC-2004 10:01:17,61,1,152,2,2,310,0,310,249
2,30-DEC-2004 10:01:18,62,2,79,5,2,2700,0,3480,278
2,30-DEC-2004 10:01:19,63,1,66,2,2,310,0,310,249
1,30-DEC-2004 10:01:19,47,2,82,3,2,1880,0,1870,316
1,30-DEC-2004 10:01:20,48,1,66,9,9,5990,0,4860,582,8690,157,5850,249,6380,332,4940,740,2230,140,2980,140,2000,249
1,30-DEC-2004 10:01:22,49,2,74,2,2,810,0,530,259
2,30-DEC-2004 10:01:22,64,2,86,2,2,860,0,850,269
2,30-DEC-2004 10:01:23,65,3,91,2,2,810,0,840,273
1,30-DEC-2004 10:01:25,50,2,74,4,2,1840,0,2440,333
1,30-DEC-2004 10:01:27,51,1,66,6,4,6960,0,6050,215,10580,365,6870,148
1,30-DEC-2004 10:01:27,52,2,78,7,5,4700,0,4280,320,2210,711,1070,125,2600,125
2,30-DEC-2004 10:01:29,66,1,62,7,6,7190,0,10780,265,10620,108,10730,571,9160,124,7960,116
1,30-DEC-2004 10:01:28,53,2,71,2,2,880,0,850,265
1,30-DEC-2004 10:01:29,54,1,60,6,3,5140,0,4510,406,2940,149
1,30-DEC-2004 10:01:30,55,2,78,6,4,4560,0,4300,174,4240,359,3230,135
1,30-DEC-2004 10:01:30,56,3,79,2,2,690,0,710,268
2,30-DEC-2004 10:01:30,67,3,94,2,2,1190,0,860,269
2,30-DEC-2004 10:01:31,68,1,65,8,3,8090,0,7450,529,11730,154
1,30-DEC-2004 10:01:32,57,1,60,2,3,5940,0,9050,595,5880,157
2,30-DEC-2004 10:01:33,69,2,74,5,2,2520,0,3690,315
2,30-DEC-2004 10:01:33,70,1,58,7,4,5590,0,6590,268,4470,631,5200,108
1,30-DEC-2004 10:01:33,58,3,78,4,2,1700,0,1650,330
1,30-DEC-2004 10:01:33,59,1,66,8,2,4850,0,6010,615
1,30-DEC-2004 10:01:34,60,2,84,5,2,3900,0,4530,493
2,30-DEC-2004 10:01:34,71,3,91,2,2,910,0,820,273
1,30-DEC-2004 10:01:36,61,3,82,2,2,720,0,490,265
1,30-DEC-2004 10:01:36,62,3,114,3,2,650,0,500,356
1,30-DEC-2004 10:01:37,63,2,79,8,2,4140,0,7260,558
2,30-DEC-2004 10:01:36,72,3,91,2,2,1190,0,1190,284
2,30-DEC-2004 10:01:36,73,2,65,6,3,5730,0,4620,464,4180,145
2,30-DEC-2004 10:01:36,74,1,58,8,3,3040,0,1610,420,1870,129
2,30-DEC-2004 10:01:37,75,1,69,2,2,310,0,310,249
2,30-DEC-2004 10:01:37,76,3,94,2,2,910,0,830,281
1,30-DEC-2004 10:01:37,64,3,84,2,2,770,0,810,283
1,30-DEC-2004 10:01:38,65,3,84,2,2,1150,0,770,251
1,30-DEC-2004 10:01:38,66,1,59,6,3,5810,0,11380,384,7660,139
2,30-DEC-2004 10:01:40,77,1,68,6,3,8140,0,6310,339,5700,126
1,30-DEC-2004 10:01:39,67,3,86,2,2,530,0,300,247
1,30-DEC-2004 10:01:40,68,2,74,7,5,5040,0,4140,315,2600,687,1870,138,2130,129
1,30-DEC-2004 10:01:40,69,3,82,2,2,620,0,390,255
1,30-DEC-2004 10:01:40,70,1,61,7,5,6310,0,10360,352,9470,775,8400,145,7880,137
2,30-DEC-2004 10:01:41,78,1,66,2,2,310,0,310,249
2,30-DEC-2004 10:01:41,79,2,76,3,2,2170,0,2460,313
1,30-DEC-2004 10:01:42,71,2,76,6,4,5540,0,3880,179,10720,313,9360,122
1,30-DEC-2004 10:01:42,72,3,82,4,2,1680,0,2500,327
1,30-DEC-2004 10:01:42,73,1,60,7,4,5530,0,7710,346,5870,466,6320,134
1,30-DEC-2004 10:01:43,74,1,91,2,2,1090,0,920,536
1,30-DEC-2004 10:01:43,75,2,62,6,3,5800,0,10210,359,7840,132
1,30-DEC-2004 10:01:45,76,2,66,6,3,6650,0,9890,365,6790,140
2,30-DEC-2004 10:01:46,80,1,71,4,2,1830,0,1430,318
1,30-DEC-2004 10:01:47,77,1,63,7,5,6110,0,11570,350,8450,774,6030,150,7050,134
2,30-DEC-2004 10:01:49,81,2,74,6,4,6040,0,5410,203,5800,315,5040,129
2,30-DEC-2004 10:01:51,82,1,39,2,2,310,0,310,249
1,30-DEC-2004 10:01:52,78,1,66,7,5,5800,0,8640,340,6380,757,4380,132,4170,140
2,30-DEC-2004 10:01:53,83,1,55,7,5,5720,0,7590,281,5490,626,5800,123,4180,116
2,30-DEC-2004 10:01:55,84,2,65,7,4,4570,0,4010,325,7610,741,8320,121
1,30-DEC-2004 10:01:59,79,1,86,2,2,1110,0,700,269
2,30-DEC-2004 10:01:58,85,1,38,2,2,310,0,310,249
2,30-DEC-2004 10:01:59,86,1,34,2,2,310,0,310,249
2,30-DEC-2004 10:02:01,87,1,59,3,3,9480,0,7740,421,5840,117
2,30-DEC-2004 10:02:01,88,2,69,4,2,2140,0,2080,372
2,30-DEC-2004 10:02:01,89,3,114,9,2,1400,0,650,513
2,30-DEC-2004 10:02:01,90,2,78,5,2,2610,0,3850,350
1,30-DEC-2004 10:02:04,80,3,86,3,2,1210,0,1430,334
2,30-DEC-2004 10:02:03,91,1,58,7,5,5830,0,5690,282,2470,638,3110,115,4070,115
1,30-DEC-2004 10:02:05,81,1,84,2,2,930,0,570,314
2,30-DEC-2004 10:02:05,92,2,74,2,2,1380,0,1060,250
2,30-DEC-2004 10:02:05,93,3,86,2,2,860,0,570,258
2,30-DEC-2004 10:02:05,94,1,54,3,3,8390,0,6680,398,6010,114
1,30-DEC-2004 10:02:07,82,1,69,2,3,6070,0,4890,590,8560,164
2,30-DEC-2004 10:02:07,95,3,86,2,2,810,0,540,258
2,30-DEC-2004 10:02:07,96,2,72,2,2,970,0,540,271
2,30-DEC-2004 10:02:07,97,1,57,2,2,310,0,310,249
2,30-DEC-2004 10:02:07,98,2,76,2,2,950,0,850,246
2,30-DEC-2004 10:02:08,99,3,86,4,2,840,0,860,280
2,30-DEC-2004 10:02:09,100,2,78,2,2,1410,0,1000,252
2,30-DEC-2004 10:02:10,101,1,68,8,3,7080,0,6180,449,9470,152
1,30-DEC-2004 10:02:14,83,2,78,2,2,2600,0,3780,281
2,30-DEC-2004 10:02:12,102,1,65,7,5,5920,0,4530,292,1540,635,2500,121,2300,113
2,30-DEC-2004 10:02:12,103,2,91,2,2,1500,0,1210,250
2,30-DEC-2004 10:02:14,104,3,99,6,3,4620,0,3450,386,4260,136
1,30-DEC-2004 10:02:15,84,2,79,2,2,1180,0,860,258
1,30-DEC-2004 10:02:15,85,3,82,2,2,620,0,690,265
1,30-DEC-2004 10:02:16,86,2,82,2,2,1080,0,940,255
2,30-DEC-2004 10:02:14,105,2,71,4,2,2110,0,2680,318
1,30-DEC-2004 10:02:17,87,1,71,6,3,7560,0,10650,372,7370,123
1,30-DEC-2004 10:02:17,88,2,82,7,4,4870,0,4340,316,2110,439,1740,132
1,30-DEC-2004 10:02:18,89,1,72,2,2,760,0,520,271
2,30-DEC-2004 10:02:18,106,2,78,7,5,6480,0,7550,320,7080,701,4850,135,3300,135
2,30-DEC-2004 10:02:18,107,1,40,7,5,6490,0,9950,191,5190,429,6170,79,6870,74
1,30-DEC-2004 10:02:21,90,1,78,2,3,5540,0,8590,554,6470,164
2,30-DEC-2004 10:02:21,108,2,72,2,2,730,0,770,235
2,30-DEC-2004 10:02:21,109,3,86,2,2,1100,0,840,280
2,30-DEC-2004 10:02:21,110,1,54,2,2,310,0,310,249
2,30-DEC-2004 10:02:21,111,2,69,4,2,2370,0,2550,355
2,30-DEC-2004 10:02:22,112,2,79,4,2,2490,0,2040,338
1,30-DEC-2004 10:02:24,91,2,84,2,2,1160,0,1030,283
2,30-DEC-2004 10:02:24,113,1,69,7,4,6610,0,6530,311,4900,711,3680,120
2,30-DEC-2004 10:02:26,114,3,84,2,2,930,0,800,272
2,30-DEC-2004 10:02:27,115,3,110,2,2,800,0,670,316
2,30-DEC-2004 10:02:27,116,2,82,5,2,3750,0,4540,357
2,30-DEC-2004 10:02:27,117,3,103,2,2,1070,0,880,308
2,30-DEC-2004 10:02:28,118,3,82,2,2,560,0,840,224
1,30-DEC-2004 10:02:28,92,1,82,6,4,5730,0,4620,224,5490,306,4450,142
2,30-DEC-2004 10:02:32,119,1,63,7,4,5870,0,5030,310,3300,662,2270,110
2,30-DEC-2004 10:02:32,120,2,82,2,2,1680,0,1630,286
2,30-DEC-2004 10:02:33,121,1,91,2,2,310,0,310,249
2,30-DEC-2004 10:02:33,122,2,82,2,2,1400,0,1090,265
1,30-DEC-2004 10:02:35,93,2,79,2,2,1130,0,1060,308
1,30-DEC-2004 10:02:36,94,3,91,2,2,690,0,540,238
1,30-DEC-2004 10:02:36,95,2,82,2,2,1000,0,750,275
2,30-DEC-2004 10:02:36,123,2,79,5,2,2890,0,4990,368
1,30-DEC-2004 10:02:37,96,2,88,2,2,1090,0,860,310
1,30-DEC-2004 10:02:37,97,3,88,2,2,910,0,1140,276
2,30-DEC-2004 10:02:37,124,2,78,2,2,830,0,540,252
2,30-DEC-2004 10:02:37,125,1,63,7,6,6620,0,5740,294,3630,118,4220,550,1600,118,2550,110
2,30-DEC-2004 10:02:38,126,2,82,2,2,1310,0,1170,265
2,30-DEC-2004 10:02:39,127,1,61,2,2,310,0,310,249
2,30-DEC-2004 10:02:39,128,3,88,2,2,800,0,540,243
1,30-DEC-2004 10:02:39,98,1,71,7,6,5900,0,8460,345,8060,158,6690,736,6870,141,12770,141
1,30-DEC-2004 10:02:39,99,2,82,2,2,1010,0,850,265
1,30-DEC-2004 10:02:40,100,2,78,2,2,750,0,780,262
2,30-DEC-2004 10:02:41,129,1,46,2,2,310,0,310,249
1,30-DEC-2004 10:02:41,101,1,63,2,3,5950,0,9340,598,5900,150
1,30-DEC-2004 10:02:42,102,2,82,4,2,1780,0,2560,327
2,30-DEC-2004 10:02:43,130,1,69,7,6,6640,0,10120,285,8380,112,8300,572,7500,103,8100,112
2,30-DEC-2004 10:02:44,131,1,74,2,2,310,0,310,249
2,30-DEC-2004 10:02:44,132,2,79,2,2,1140,0,700,228
2,30-DEC-2004 10:02:51,133,2,99,2,2,1290,0,1130,248
2,30-DEC-2004 10:02:54,134,2,79,5,2,2560,0,4260,328
2,30-DEC-2004 10:02:54,135,1,58,7,4,4870,0,4710,158,3750,289,2730,108
1,30-DEC-2004 10:02:56,103,2,82,2,2,1210,0,1020,286
2,30-DEC-2004 10:02:55,136,2,79,2,2,910,0,620,238
2,30-DEC-2004 10:02:55,137,1,66,7,5,6860,0,7360,298,4680,648,3080,123,1600,115
2,30-DEC-2004 10:02:57,138,2,82,2,2,1130,0,960,275
1,30-DEC-2004 10:02:57,104,3,84,2,2,650,0,520,262
2,30-DEC-2004 10:02:58,139,2,96,4,2,1140,0,1160,277
2,30-DEC-2004 10:02:58,140,3,103,2,2,310,0,310,249
2,30-DEC-2004 10:02:58,141,3,88,2,2,810,0,940,276
2,30-DEC-2004 10:02:59,142,1,62,7,4,5970,0,5990,265,3730,634,3570,108
2,30-DEC-2004 10:02:59,143,3,94,2,2,1150,0,890,257
1,30-DEC-2004 10:03:01,105,3,84,2,2,950,0,990,262
2,30-DEC-2004 10:03:00,144,3,99,2,2,1060,0,1080,261
2,30-DEC-2004 10:03:01,145,2,74,6,3,7350,0,5750,445,5690,129
2,30-DEC-2004 10:03:01,146,3,99,2,2,310,0,310,249
1,30-DEC-2004 10:03:02,106,1,88,6,4,6440,0,6710,198,11240,354,11510,132
2,30-DEC-2004 10:03:02,147,3,106,2,2,1200,0,1310,265
2,30-DEC-2004 10:03:04,148,2,72,5,2,2400,0,3780,326
2,30-DEC-2004 10:03:05,149,2,76,2,2,1270,0,720,275
1,30-DEC-2004 10:03:06,107,1,76,7,6,5360,0,4460,351,3900,141,2370,703,2500,151,3450,141
1,30-DEC-2004 10:03:07,108,2,78,3,2,1280,0,1320,340
1,30-DEC-2004 10:03:07,109,1,199,7,4,2700,0,3000,498,1830,1023,1710,373
2,30-DEC-2004 10:03:06,150,1,54,7,5,7600,0,15110,263,13300,595,10690,107,7550,107
