,0,1,2,3,4,5,6,7,8,9,10,11,12
0,1,HDV,7,40150.62828782488,6,[349.1000416  117.97141311 691.42335988 131.90442251 117.88500986],"[ 6980.67909835  6962.60804731 11546.72164191  8303.41453596
  2671.89265939  3685.3123049 ]",2.0,3.6551032139186455,0,48.0,30.14616312774433,2688.628283889241
1,1,HDV,7,63372.715900947325,5,[310.72733746 729.47890408 125.90912047 128.74537605],"[17596.24425784 13576.27860442 10396.16291174 10236.32262171
 11567.70750523]",60.93621934342662,3.2813416837312617,0,48.0,48.99651007735474,2706.043758277434
